description,max_salary
"Our client is a top-tier financial markets technology firm, renowned for its powerful trading systems that operate globally. Leveraging cutting-edge technology, they trade virtually all listed financial products and classes. Join their elite team and contribute to the future of high-frequency trading! As a Senior Network Engineer, you’ll play a pivotal role in designing, building, and enhancing reliable, low-latency network infrastructure. Your expertise will directly impact the performance and stability of critical trading systems. If you thrive on challenges, embrace innovation, and seek to optimize network efficiency, this role is tailor-made for you. They are looking to grow their team here in NYC, and is a hybrid role, 3 days a week in the office. 
Responsibilities:Build, optimize, and support infrastructure vital to trading-related businesses.Provide recommendations to enhance performance, including lowering latency, increasing throughput, and improving redundancy.
Skills and Qualifications:5+ years of experience in Network Engineering or Design.Proficiency with Cisco and Arista hardware and software.Strong understanding of networking topologies (BGP, OSPF, etc).Expertise in Multicast routing.8+ years of experience with low-latency trading systems and financial exchange connectivity.Familiarity with packet-level analysis and network monitoring tools Automation/scripting skills (e.g., Python, Golang, or similar).
If you're ready to make an impact in the world of ultra low latency trading, apply now!
** This role is not open to C2C **",250000
"Regis is a real estate investor and operator that creates investment strategies and platforms with secure income streams and a strong growth profile. We have formed new, industry leading platforms across the US and UK, with $27bn TEV invested or managed since inception. Regis has introduced 11 new operating platforms, including Invitation Homes, the first largescale SFR platform ($11bn TEV invested in partnership with Blackstone); Sage Homes, the largest private UK affordable housing platform (£4.1bn TEV invested to date in partnership with Blackstone); and Haven Capital, the leading private US ground lease investment platform ($1bn TEV committed). 
We are currently seeking an Analyst to join our Investments team in New York, NY. As a Regis analyst, the candidate would work on investments across all strategies, including SFR, BTR, commercial ground leases, affordable housing, multifamily, and other corporate / platform led strategies. 
Responsibilities: • Support senior management with all analytical and transactional aspects of acquiring an investment, including due diligence, market research, financing, and closing • Underwrite potential investment opportunities across all major asset types and develop a deep understanding of all major markets • Create and maintain various financial models, presentations and investment summaries • Interface with partners, lenders, and brokers • Assist in the creation of quarterly asset management reports • Review third-party reports, engineering reports, appraisals, market studies and other pertinent real estate documents with the goal of abstracting relevant and actionable data • Communicate with various acquisition process stakeholders exhibiting a high degree of social intelligence and discretion • Perform special ad hoc projects and analysis on a frequent basis
Qualifications: Regis seeks to hire individuals who are highly motivated, mature, intelligent and have demonstrated excellence in prior endeavors. In addition to strong analytical skills, the successful candidate should have: • Bachelor’s Degree • 1 to 3 years of real estate investing experience • Outstanding quantitative skills with a proficiency in Excel, PowerPoint, and Argus • Exceptional written, verbal, and interpersonal communication stills • Ability to multi-task and execute a wide range of assignments • Interest in an entrepreneurial environment with significant growth potential • Team-oriented and collaborative • Highly organized with strong attention to detail

Regis is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",220000
"The Controller will be responsible for the integrity of the financial records, production of all management, financial and regulatory reports, budgeting & planning.Client DetailsWell-known Real Estate Developer looking for a Controller to be the number 1 in the Accounting and Finance team. DescriptionProvide financial analysis and insights to support decision-making processes and strategic planning initiatives.Collaborate with Project Managers, department heads, Project Executives to monitor project budgets, analyze variances, and ensure profitability.Supervise and mentor finance/accounting staff, fostering a culture of excellence, teamwork, and continuous improvement.Stay current on regulatory changes and industry best practices related to government contracting and financial management.Ensure the accuracy of the financial records of the BankManage the preparation of all financial, management, and regulatory reportingSupport month-end and year-end closeStreamline processes, automate reports and maintain procedures and policiesPrepare financial analysisPrepare annual budgetProfileCPAReal Estate, Developer experience8 plus years of senior accounting experienceMinimum Bachelor of Science degree in AccountingJob OfferGreat SalaryBonusWork/life balanceGreat benefits 
MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.",180000
"Our client, a leading trading and Investment Firm, is seeking a new Full-Time/Permanent Executive Assistant/Office Manager for its newly established Midtown New York City office. This person will be supporting the company’s President while ensuring efficient day to day office operations. Candidates must have a minimum of 10+ years of applicable high-level executive administrative support experience, ideally working in financial services and/or a small family office environment where they have worn many hats, and a Bachelor’s degree is required/strongly preferred. Ideal candidates should be smart, extremely organized, mature-minded, professional, flexible, proactive, collaborative, effective problem solvers, calm under pressure, and be able to thrive in a fast-paced environment. 
Salary depends on experience (125-135k base), plus discretionary bonus eligibility (all in 150-160k).
Responsibilities:
Provide high-level executive administrative support to the President.Schedule and organize extensive internal and external meetings, conference/video calls, and appointments across multiple time zones; manage and maintain a busy and ever-changing calendar.Prepare and distribute agendas (including updating PowerPoint Presentations) and other materials for meetings.Prepare and edit correspondence, presentations, reports, and other documents.Coordinate high volume of complex international and domestic travel arrangements and detailed itineraries.Responsible for expense tracking and invoicing.Handle confidential information with discretion and professionalism.Responsible for effective collaboration with other areas of the firmManage time-off requests for President’s direct reports.Oversee day-to-day office operations, including maintaining office supplies, equipment, and facilities. General vendor management/agreements will be handled through the facilities manager located in the company’s headquarters.Coordinate office events, meetings, and conferences, including logistics and catering arrangements.Maintain and implement (when required) office policies and procedures.Manage Jr. Admin/Receptionist.
Required Qualifications:
Minimum of 10+ years of prior experience in an Executive Administrative role in a fast-paced environment, ideally within financial services and/or small family office where they have worn many hats.Ideal candidates should have experience working in a smaller office environment performing a dual role of Executive Assistant & Office Manager.Bachelor’s degree required/strongly preferred.Exceptional organizational skills and attention to detail.Strong written and verbal communication skills.Ability to prioritize tasks and manage changing priorities in a deadline-driven environment.Discretion and professionalism in handling confidential information with discretion and professionalism.Demonstrated ability to collaborate effectively with all levels of employees.Strong proficiency in Microsoft Outlook, Word, Excel, and PowerPoint.
If you meet the required qualifications and are interested in this role, please apply today.
The Solomon Page Distinction
Our teams, comprised of subject matter experts, develop an interest in your preferences and goals and we act as an advisor for your career advancement. Solomon Page has an extensive network of established clients which allows us to present opportunities that are well-suited to your respective goals and needs – this specialized approach sets us apart in the industries we serve.
About Solomon Page
Founded in 1990, Solomon Page is a specialty niche provider of staffing and executive search solutions across a wide array of functions and industries. The success of Solomon Page reflects an organic growth strategy supported by a highly entrepreneurial culture. Acting as a strategic partner to our clients and candidates, we focus on providing customized solutions and building long-term relationships based on trust, respect, and the consistent delivery of excellent results. For more information and additional opportunities, visit: solomonpage.com and connect with us on Facebook, and LinkedIn.
Opportunity Awaits.",135000
"Grade 104

Job Type: Officer of AdministrationRegular/Temporary: RegularHours Per Week: 35Salary Range: $65,000 - $70,000

The salary of the finalist selected for this role will be set based on a variety of factors, including but not limited to departmental budgets, qualifications, experience, education, licenses, specialty, and training. The above hiring range represents the University's good faith and reasonable estimate of the range of possible compensation at the time of posting.

Position Summary

Reporting directly to the Associate Director of Finance of the Clinical Trials Office (CTO) of Columbia University's Vagelos College of Physicians & Surgeons (VP&S) at Columbia University Irving Medical Center (CUIMC), the Financial Analyst oversees the financial management of industry-sponsored clinical trials at CUMC on behalf of study teams. The Financial Analyst will work closely with CTO colleagues, including financial analysts, contract officers, and budget analysts, as well as investigators and their research teams for the financial management of industry-sponsored clinical trials.

The CTO assists investigators and academic/research staff in developing clinical trials at VP&S and provides administrative resources and infrastructure to build and sustain clinical trials research at VP&S.

Responsibilities

The Financial Analyst primary responsibilities include:

Reconcile accruals, payments, invoices, and other financial activity for clinical trial accounts through detailed analysis and proper documentation.Establish and maintain frequent communication with sponsors, investigators, research teams or research administrators regarding account status and issues.Identify and address collection issues by tracking receipt of payments and analyzing aging and uncollectible account receivable balances.Ensure the accuracy of financial data: interpreting and analyzing account activity, auditing financial issues, and working with CTO colleagues, research teams, and sponsors to resolve issues.Create and update accounts within the university accounting system.Interpret contract and budget language to ensure efficient collection of payments.Create, distribute, and follow up on invoices for assigned caseload.Respond to inquiries in a timely manner and providing feedback and solutions to financial issues.Analyze and present on financial activity for assigned caseload.Maintain current knowledge of university policies as it relates to industry-sponsored clinical trials.Ensure CTO closeout processes are performed through thorough review of contract, budget, accruals, and payments.Assist management in identifying opportunities to improve processes: providing input for streamlining processes to facilitate collecting and analyzing data. Recommending improvements to current reconciliation process.Performs related duties & responsibilities as assigned/requested.

Minimum Qualifications

Bachelor’s Degree or equivalent in education and experience plus three years of related experience.

Preferred Qualifications

Proficiency in Microsoft Office Suite (minimum intermediate level in Excel required); Zoom and Microsoft TeamsExcellent analytical and critical thinking abilities, organizational, time management, problem solving skills, and attention to detailWorking knowledge of clinical researchDemonstrate ability to collaborate with partners in research, investigators and research teamsAbility to manage/handle multiple tasksStrong customer service, oral and written communication skillsAbility to work in teams and independently in a highly productive environment

Equal Opportunity Employer / Disability / Veteran

Columbia University is committed to the hiring of qualified local residents.",70000
"Bloomberg delivers critical information in a world where information matters. We give influential decision makers in business, finance and government a competitive edge by connecting them to a dynamic network of news, people and ideas. To do that, we need a constant flow of ideas, energy and innovation-which is where you come in.

Bloomberg Television is looking for a highly motivated Executive Producer to lead our flagship morning program. The position is based in New York and reports to the Head of Television, US.

You will be responsible for overseeing the editorial vision and production of our morning program on Bloomberg Television. You will be expected to manage a team of producers and to think strategically about how to improve the daily program and grow our audience with new segments, coverage angles and special programs.

You should have exceptional news judgement and specific experience in covering business, finance and the economy on a global scale. You embrace challenges, make split-second decisions, thrive in a fast-paced environment and are an effective communicator across a global newsroom.

WE'LL TRUST YOU TO: 

 Manage a growing, global team of producers and bookers. Oversee our editorial and production values and represent the goals of our program to external and internal audiences. Work closely with our anchors and other on air contributors to improve our product and reach.Be proactive - pitch ideas, be creative, bring your expertise to the table and elevate our content. Book newsmakers and develop relationships within the business, finance and public relations communities globally. Collaborate with other Bloomberg Media platforms to promote our content. Work well under pressure in a fast-paced newsroom environment, be able to pivot and react as news events evolve.

YOU'LL NEED TO HAVE: 

 Bachelor's degree or equivalent At least 10 years of experience leading a network level broadcast program and team (or other equivalent experience). Extensive knowledge of (and interest in) business news and financial markets. Problem solving skills, with the ability to work under deadline pressure. Flexibility with hours and early morning start times.

IF THIS SOUNDS LIKE YOU:

Apply if you think we're a good match. We'll get in touch to let you know that the next steps are, but in the meantime feel free to have a look at: https://www.bloomberg.com/company/careers/working-here/media/?tactic-page=588594

Bloomberg is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of age, ancestry, color, gender identity or expression, genetic predisposition or carrier status, marital status, national or ethnic origin, race, religion or belief, sex, sexual orientation, sexual and other reproductive health decisions, parental or caring status, physical or mental disability, pregnancy or maternity/parental leave, protected veteran status, status as a victim of domestic violence, or any other classification protected by applicable law.

Bloomberg provides reasonable adjustment/accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable adjustment/accommodation to apply for a job or to perform your job. Examples of reasonable adjustment/accommodation include but are not limited to making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. If you would prefer to discuss this confidentially, please email AMER_recruit@bloomberg.net (Americas), EMEA_recruit@bloomberg.net (Europe, the Middle East and Africa), or APAC_recruit@bloomberg.net (Asia-Pacific), based on the region you are submitting an application for.

Salary Range: 170,000 - 195,000 USD Annually + Benefits + Bonus

The referenced salary range is based on the Company's good faith belief at the time of posting. Actual compensation may vary based on factors such as geographic location, work experience, market conditions, education/training and skill level.

We offer one of the most comprehensive and generous benefits plans available and offer a range of total rewards that may include merit increases, incentive compensation [Exempt roles only], paid holidays, paid time off, medical, dental, vision, short and long term disability benefits, 401(k) +match, life insurance, and various wellness programs, among others. The Company does not provide benefits directly to contingent workers/contractors and interns.",195000
"My client is a $4bAUM Private Equity firm seeking an Assistant Controller to work closely with and support our finance and investment teams. The primary responsibility of this role is to assist in managing all aspects of accounting and reporting for our Funds. This includes coordinating capital call/distribution preparation, tax compliance, marketing efforts, and addressing other ad hoc requests. Additionally, the Assistant Controller will collaborate with the investment team on deal activities, funds flow, and tax matters.Responsibilities:Oversee all aspects of fund accounting and financial reporting.Coordinate with fund administrators and review their work, including fund accounting and tax accounting.Understand fund structures and tax issues, identifying and addressing any blockers.Perform fund performance reporting and calculations.Review financial statements.Coordinate audits.Understand Limited Partnership Agreements (LPA) and side letters to monitor compliance.Conduct waterfall calculations.Correspond with Limited Partners and respond to ad hoc requests.Communicate with Portfolio Company CFOs/Controllers.Ensure compliance with credit facility terms.Assist with tax compliance, including reviewing partnership Form K-1s and returns, as well as corporate entity returns.Review carried interest allocations.Coordinate portfolio company tax financial reporting.Assist with the quarterly valuation process and preparation of materials for the Valuation Committee.Handle investor requests.Prepare cash transfers between accounts, set up wires, and review bank reconciliations.Fulfill various ad hoc reporting requests and special projects.Review and modify accounting/financial systems, procedures, and processes, as necessary.Qualifications:Bachelor's degree in Accounting, Finance, or related field; CPA preferred.5-10 years of experience in fund accounting, preferably within private equity, venture capital, or a similar industry.Strong understanding of financial reporting standards and tax regulations.Experience with fund structures, waterfall calculations, and partnership accounting.Excellent communication skills, with the ability to correspond effectively with internal and external stakeholders.Detail-oriented with strong analytical skills.Ability to manage multiple tasks and deadlines effectively.Proficiency in accounting software and Microsoft Excel.Experience with fund administration platforms is a plus.",150000
"Join our mission in simplifying the way that IT assets are procured and managed across the globe, whether your employees are in-office, hybrid, or fully remote. We are a hard-working and committed team, focused on scaling our operations, expanding to new regions, and continually improving our processes, all while putting our customers first. 
Our team is expanding and we are excited to bring on a Manager of Sourcing and Procurement. We’re looking for someone who has experience with hardware reselling, is well-versed in ABM and Autopilot enrollment, is passionate about managing a team, and thrives in a fast-paced, constantly changing environment. 
Key Responsibilities:
Implement quality program to hold vendors accountable to the highest level of service delivery excellenceEvaluate and formalize new vendor relationships to ensure business continuity in existing regions, while also enabling expansion into new regionsAct as the subject matter expert for Autopilot / ABM enrollment & MDM related inquiries (knowledge of ZTE also a plus)Act as the escalation point for all procurement related issuesPartner with Product & Engineering to improve the allwhere platform over time, while also implementing stopgap solutions to solve for immediate-term needsEvaluate end-to-end procurement workflows and implement process improvements to reduce inefficiencies Align procurement operations to industry best practices while also thinking outside the box to implement creative solutions where neededBuild procurement related enablement materials for cross-functional teams as neededDevelop, monitor, and maintain key performance indicators that best demonstrate the performance of the procurement functionImplement creative solutions to reduce procurement related escalations across all regionsBuild processes to maximize margin while prioritizing service delivery excellence Work effectively with stakeholders across multiple levels of the organization in order to achieve business objectives
Qualifications:
Bachelor’s degreeExperience with ABM & Autopilot enrollmentStrong vendor management skillsStrong people management skillsDirect experience working with ERP systems (Acumatica a plus)Prior experience managing or facilitating the resale of IT assetsStrong attention to detail and ability to multitaskExcellent written and verbal communication skillsData-driven mindsetAbility to collaborate effectively with a diverse team in a fast-paced environment
",110000
"🌍 ABOUT LIVEFLOW:We're building LiveFlow to help millions of people build better businesses by helping them manage their finances easily.
Every company has to manage its P&L and its cash. Still, too many companies drown because of manual financial work, the absence of understanding of how their numbers work, and too many other day-to-day priorities.We want to fix that.
We are backed by world-class investors like YC, YC Continuity, Seedcamp, WndrCo, Moonfire, Bradley Horowitz (VP Product, Google), Tomer London (Co-Founder, Gusto), and more.
🧠 ABOUT THE ROLEWe are seeking a dedicated and empathetic Customer Experience Specialist, a vital role designed for individuals passionate about ensuring customer satisfaction. As the pioneer in this position, you will take end-to-end responsibility for crafting unforgettable experiences for our customers.Our high bar is set at a 9.7/10 rating on G2 for Customer Support, and your role will be pivotal in maintaining, if not elevating, this standard.This role is specifically designed for people with top-notch financial modeling skills who are eager to grow their career in a customer-facing role.
WHAT YOU WILL DO:Develop and implement scalable customer experience processes to ensure business growth without compromising customer experience.Address customer support queries promptly and empathetically, consistently exceeding customer expectations.Collaborate closely with our customers to facilitate seamless end-to-end implementation of LiveFlow.Serve as the conduit between our customers and the product and engineering teams, effectively communicating customer issues and feedback internally to drive product improvements.Craft a comprehensive Customer Experience Playbook to catapult LiveFlow to its next level of growth, incorporating customer insights, innovative strategies, and industry best practices.🧳 WHAT WE'RE LOOKING FOR:Bachelor's or Master's degree in FinanceIntermediate financial modeling and Excel skills.A passion for delivering exceptional customer experiences.Excellent communication skills, both written and verbal.Strong problem-solving skills and the ability to think independently in a fast-paced environment.You are humble, you ask a lot of questions, are naturally curious and hungry to achieve impressive things in life and work.BENEFITS:Competitive base salarySubstantial equity packageHealth, vision, and dental insurance401(k)All the latest tech you need; MacBooks, monitors, etc.Monthly budget to spend on books and conferences to keep learningThe estimated base salary for this role is $75,000 - $85,000. This range is subject to change, and the final base salary will be determined by factors such as geographic location, skills, work experience, and business needs.",85000
"Anaplan. As the engine behind back-office system connectivity, you might not recognize our name, but our customers rank among the who’s who in the Fortune 50. Coca-Cola, LinkedIn, Adobe, and Bayer are just a few of the 2,000+ companies that rely on our best-in-class platform and its native AI capabilities to see, plan, and lead their businesses. By dynamically connecting financial, strategic, and operational plans in real-time, companies trust Anaplan to give them the power to anticipate change, address complexity, deliver operational insights, increase profits, and stay ahead of their competition.

What unites Anaplanners across teams and geographies is our commitment to our customers’ success and our collective motivation to achieve ambitious goals. We champion diversity of thought and ideas, and we behave like leaders irrespective of title. When you work for us, you’ll be part of a winning culture that’s dedicated to creating opportunities for our customers, partners, and employees. We hope you’ll join us. Let’s create something incredible together!

What You’ll Be Doing

The Partner Success team works closely with the Anaplan partner ecosystem to further develop the partner's services delivery capabilities. From our Minneapolis office you will work closely with our Alliances, Academy and, Customer Success teams to drive focused partner enablement where we need it most.

Observe, coach and manage Anaplan partner resources through the partner lifecycle, both in the field and via workshop

Internally, Work With The Anaplan Village To

Develop strategic partner development plans alongside designated Alliances, Customer Success, Sales and Channel resourcesContinually evaluate onboarding and training needs for new and existing staff membersLiaise with Partner Operations to review and develop partner metrics which assist in decision making

Externally, regularly interact with Partner practice leads on the following:

Review partner customers portfolio health and design any required action plansMake recommendations and assist with additional training and onsite support if requiredParticipate in regular Partner planning meetings, topics to include: Resource Planning, Review of current engagements, etc.Provide product, field, and local expertise when working with Content Developers/Instructional Designers, to produce high quality, relevant and localized materials. Subjects to include: Connected Planning, Solution Architecture, The Anaplan Way, Pre-Sales Process, New product releasesEstablish and host Partner Days within your region to ensure Partners build up the relevant contacts within Customer Success, Product, Sales and Support.

More About You

Bachelor’s and / or Master’s Degree – Finance, Accounting or MIS preferable6+ years of general EPM consulting experienceFluent (xxx language) and business level English1+ years of Anaplan deployment experience is preferable1+ years of experience leading, managing or coaching othersExpert software training and facilitation skillsDemonstrated experience as a coach and mentor in a software implementation environmentFamiliarity with a formal system implementation methodology – requirements gathering, design, build/test and deploy (Agile methodology preferable)Penchant for service excellence and a collaborative styleSuperb written, oral communication and presentation skillsAbility to work across multiple functions and within a regional remote teamFunctional knowledge in one of Supply Chain, Sales, and FinanceHighly organized, customer-focused, and innovativeResults-oriented, motivated, self-starterCollegial, open and grounded in integrityDesire to work with a truly dynamic and exciting team, with a “roll-up your sleeves” approachFlexible and able to work in fluid environment with changing priorities

Base Salary Range

$154,000—$209,000 USD

Our Commitment to Diversity and Inclusion

Build your job in a place that thrives on diversity, inclusion, and belonging. We believe in maintaining a hiring and working experience in which all people are respected and valued, regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes people unique. We hire you for who you are, and we want you to bring your true self to work every day!

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, perform essential job functions, and receive equitable benefits and all privileges of employment. Please contact us to request accommodation.

Fraud Recruitment Disclaimer

It has come to our attention that fraudulent and fictitious job opportunities are being circulated on the Internet. Prospective candidates are being contacted by certain individuals, mainly through telephone calls, emails and correspondences, claiming they are representatives of Anaplan. The main purpose of these correspondences and announcement is to obtain privileged information from individuals.

Anaplan Does Not

Extend offers to candidates without an extensive interview process with a member of our recruitment team and a hiring manager via video or in person. Send job offers via email. All offers are first extended verbally by a member of our internal recruitment team whenever possible, and then followed up via written communication.

All emails from Anaplan would come from an @anaplan.com email address. Should you have any doubts about the authenticity of an email, letter or telephone communication purportedly from, for, or on behalf of Anaplan, please send an email to humanresources@anaplan.com before taking any further action in relation to the correspondence.",209000
